Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
unix  3      [ ]         SEQPACKET  CONNECTED     75860    
unix  3      [ ]         STREAM     CONNECTED     67192    
unix  3      [ ]         STREAM     CONNECTED     61954    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     45300    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     35543    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     32735    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     32732    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     48401    
unix  3      [ ]         STREAM     CONNECTED     64958    
unix  3      [ ]         STREAM     CONNECTED     64786    
unix  3      [ ]         STREAM     CONNECTED     45008    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     114050   
unix  3      [ ]         STREAM     CONNECTED     96607    
unix  3      [ ]         STREAM     CONNECTED     69776    
unix  3      [ ]         STREAM     CONNECTED     39844    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     39823    
unix  3      [ ]         STREAM     CONNECTED     44864    
unix  3      [ ]         DGRAM                    26966    
unix  3      [ ]         DGRAM                    22335    
unix  3      [ ]         STREAM     CONNECTED     90732    
unix  2      [ ]         STREAM     CONNECTED     81464    
unix  3      [ ]         STREAM     CONNECTED     42687    @/tmp/.X11-unix/X0
unix  3      [ ]         STREAM     CONNECTED     45241    
unix  3      [ ]         STREAM     CONNECTED     40291    @/tmp/dbus-VFvSlngVmD
unix  3      [ ]         SEQPACKET  CONNECTED     68925    
unix  3      [ ]         SEQPACKET  CONNECTED     68632    
unix  3      [ ]         STREAM     CONNECTED     48393    
unix  3      [ ]         STREAM     CONNECTED     51841    
unix  3      [ ]         STREAM     CONNECTED     112173   
unix  3      [ ]         SEQPACKET  CONNECTED     93395    
unix  3      [ ]         STREAM     CONNECTED     55256    
unix  3      [ ]         STREAM     CONNECTED     55241    
unix  2      [ ]         STREAM     CONNECTED     57195    /run/user/1000/dolphinXuDwqP.4.slave-socket
unix  3      [ ]         STREAM     CONNECTED     35407    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     42195    
unix  3      [ ]         STREAM     CONNECTED     97218    
unix  3      [ ]         STREAM     CONNECTED     75718    
unix  3      [ ]         DGRAM                    43614    
unix  3      [ ]         DGRAM                    37084    
unix  2      [ ]         DGRAM                    24623    
unix  2      [ ]         STREAM     CONNECTED     101963   
unix  3      [ ]         SEQPACKET  CONNECTED     99728    
unix  3      [ ]         STREAM     CONNECTED     77342    
unix  3      [ ]         STREAM     CONNECTED     62035    
unix  3      [ ]         STREAM     CONNECTED     49270    
unix  3      [ ]         STREAM     CONNECTED     44980    
unix  3      [ ]         STREAM     CONNECTED     39834    
unix  3      [ ]         STREAM     CONNECTED     41984    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     64956    
unix  3      [ ]         STREAM     CONNECTED     42726    
unix  3      [ ]         STREAM     CONNECTED     38877    
unix  3      [ ]         STREAM     CONNECTED     42685    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     32736    /run/dbus/system_bus_socket
unix  3      [ ]         SEQPACKET  CONNECTED     75861    
unix  2      [ ]         STREAM     CONNECTED     74040    
unix  3      [ ]         STREAM     CONNECTED     48442    
unix  3      [ ]         STREAM     CONNECTED     40963    
unix  3      [ ]         STREAM     CONNECTED     36647    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     81867    
unix  3      [ ]         STREAM     CONNECTED     99015    
unix  3      [ ]         STREAM     CONNECTED     96622    
unix  3      [ ]         STREAM     CONNECTED     45312    
unix  3      [ ]         STREAM     CONNECTED     80116    
unix  3      [ ]         STREAM     CONNECTED     45012    
unix  3      [ ]         STREAM     CONNECTED     44925    @/tmp/.X11-unix/X0
unix  3      [ ]         STREAM     CONNECTED     36821    
unix  2      [ ]         DGRAM                    22399    
